title,pdf_path
Adam Collis,./hotpotqa_pdfs/Adam Collis.pdf
Ed Wood (film),./hotpotqa_pdfs/Ed Wood (film).pdf
Tyler Bates,./hotpotqa_pdfs/Tyler Bates.pdf
Doctor Strange (2016 film),./hotpotqa_pdfs/Doctor Strange (2016 film).pdf
Hellraiser: Inferno,./hotpotqa_pdfs/Hellraiser_ Inferno.pdf
Sinister (film),./hotpotqa_pdfs/Sinister (film).pdf
Deliver Us from Evil (2014 film),./hotpotqa_pdfs/Deliver Us from Evil (2014 film).pdf
"Woodson, Arkansas","./hotpotqa_pdfs/Woodson, Arkansas.pdf"
Conrad Brooks,./hotpotqa_pdfs/Conrad Brooks.pdf
The Exorcism of Emily Rose,./hotpotqa_pdfs/The Exorcism of Emily Rose.pdf
A Kiss for Corliss,./hotpotqa_pdfs/A Kiss for Corliss.pdf
Lord High Treasurer,./hotpotqa_pdfs/Lord High Treasurer.pdf
Meet Corliss Archer (TV series),./hotpotqa_pdfs/Meet Corliss Archer (TV series).pdf
Village accountant,./hotpotqa_pdfs/Village accountant.pdf
Joseph Kalite,./hotpotqa_pdfs/Joseph Kalite.pdf
Charles Craft,./hotpotqa_pdfs/Charles Craft.pdf
Meet Corliss Archer,./hotpotqa_pdfs/Meet Corliss Archer.pdf
Janet Waldo,./hotpotqa_pdfs/Janet Waldo.pdf
Kiss and Tell (1945 film),./hotpotqa_pdfs/Kiss and Tell (1945 film).pdf
Secretary of State for Constitutional Affairs,./hotpotqa_pdfs/Secretary of State for Constitutional Affairs.pdf
